ModChr,ModStart,ModEnd,Strand,ModID,ModType,Motif score,Support Num,Cell/Tissue,Seq Type,Transcript ID Num,Conserved Sites Num,snoRNA List,Writer Name
chr1,247310442,247310443,-,ac4C_site_191,ac4C,noScore,1,DLD1,acRIP-seq,3,0,na,na
chr1,244706032,244706033,+,ac4C_site_190,ac4C,noScore,1,DLD1,acRIP-seq,1,0,na,na
chr2,241573556,241573557,+,ac4C_site_1175,ac4C,noScore,1,DLD1,acRIP-seq,1,0,na,na
chr2,235799475,235799476,+,ac4C_site_1171,ac4C,noScore,1,DLD1,acRIP-seq,8,0,na,na
chr2,233840779,233840780,-,ac4C_site_1170,ac4C,noScore,1,DLD1,acRIP-seq,3,0,na,na
chr2,229777395,229777396,-,ac4C_site_1167,ac4C,noScore,1,DLD1,acRIP-seq,5,0,na,na
chr1,225497591,225497592,-,ac4C_site_181,ac4C,noScore,1,DLD1,acRIP-seq,5,0,na,na
chr1,223798586,223798587,-,ac4C_site_179,ac4C,noScore,1,DLD1,acRIP-seq,6,0,na,na
chr2,219232333,219232334,+,ac4C_site_1165,ac4C,noScore,1,DLD1,acRIP-seq,19,0,na,na
chr2,219206927,219206928,+,ac4C_site_1164,ac4C,noScore,1,DLD1,acRIP-seq,17,0,na,na
chr2,210431591,210431592,-,ac4C_site_1162,ac4C,noScore,1,DLD1,acRIP-seq,3,0,na,na
chr1,209842385,209842386,+,ac4C_site_178,ac4C,noScore,1,DLD1,acRIP-seq,2,0,na,na
chr1,207023301,207023302,-,ac4C_site_177,ac4C,noScore,1,DLD1,acRIP-seq,2,0,na,na
chr1,207022899,207022900,-,ac4C_site_176,ac4C,noScore,1,DLD1,acRIP-seq,2,0,na,na
chr1,206732723,206732724,+,ac4C_site_175,ac4C,noScore,1,DLD1,acRIP-seq,2,0,na,na
chr1,206595791,206595792,-,ac4C_site_173,ac4C,noScore,1,DLD1,acRIP-seq,6,0,na,na
chr1,206588548,206588549,+,ac4C_site_172,ac4C,noScore,1,DLD1,acRIP-seq,5,0,na,na
chr2,206124194,206124195,-,ac4C_site_1160,ac4C,noScore,1,DLD1,acRIP-seq,7,0,na,na
chr2,206120814,206120815,-,ac4C_site_1159,ac4C,noScore,1,DLD1,acRIP-seq,1,0,na,na
chr1,205144213,205144214,-,ac4C_site_170,ac4C,noScore,1,DLD1,acRIP-seq,2,0,na,na
chr1,204411088,204411089,-,ac4C_site_169,ac4C,noScore,1,DLD1,acRIP-seq,1,0,na,na
chr1,204409968,204409969,-,ac4C_site_168,ac4C,noScore,1,DLD1,acRIP-seq,1,0,na,na
chr1,203796006,203796007,+,ac4C_site_166,ac4C,noScore,1,DLD1,acRIP-seq,12,0,na,na
chr2,202037322,202037323,+,ac4C_site_1157,ac4C,noScore,1,DLD1,acRIP-seq,1,0,na,na
chr1,201381799,201381800,-,ac4C_site_164,ac4C,noScore,1,DLD1,acRIP-seq,3,0,na,na
chr1,201114606,201114607,-,ac4C_site_162,ac4C,noScore,1,DLD1,acRIP-seq,2,0,na,na
chr2,199308857,199308858,-,ac4C_site_1155,ac4C,noScore,1,DLD1,acRIP-seq,6,0,na,na
chr3,197701784,197701785,-,ac4C_site_1435,ac4C,noScore,1,DLD1,acRIP-seq,5,0,na,na
chr3,197016268,197016269,-,ac4C_site_1433,ac4C,noScore,1,DLD1,acRIP-seq,1,0,na,na
chr3,195785211,195785212,-,ac4C_site_1431,ac4C,noScore,1,DLD1,acRIP-seq,12,0,na,na
chr4,186619443,186619444,-,ac4C_site_1476,ac4C,noScore,1,DLD1,acRIP-seq,2,0,na,na
chr4,186596802,186596803,-,ac4C_site_1475,ac4C,noScore,1,DLD1,acRIP-seq,5,0,na,na
chr3,186105869,186105870,-,ac4C_site_1427,ac4C,noScore,1,DLD1,acRIP-seq,9,0,na,na
chr3,185586473,185586474,+,ac4C_site_1426,ac4C,noScore,1,DLD1,acRIP-seq,7,0,na,na
chr1,185309118,185309119,-,ac4C_site_159,ac4C,noScore,1,DLD1,acRIP-seq,3,0,na,na
chr5,178205949,178205950,+,ac4C_site_1533,ac4C,noScore,1,DLD1,acRIP-seq,8,0,na,na
chr5,177337155,177337156,-,ac4C_site_1531,ac4C,noScore,1,DLD1,acRIP-seq,6,0,na,na
chr5,177306571,177306572,+,ac4C_site_1530,ac4C,noScore,1,DLD1,acRIP-seq,4,0,na,na
chr5,176599712,176599713,-,ac4C_site_1529,ac4C,noScore,1,DLD1,acRIP-seq,1,0,na,na
chr5,173609336,173609337,-,ac4C_site_1527,ac4C,noScore,1,DLD1,acRIP-seq,5,0,na,na
chr4,173333154,173333155,-,ac4C_site_1473,ac4C,noScore,1,DLD1,acRIP-seq,5,0,na,na
chr5,172336907,172336908,-,ac4C_site_1526,ac4C,noScore,1,DLD1,acRIP-seq,4,0,na,na
chr1,171587744,171587745,+,ac4C_site_152,ac4C,noScore,1,DLD1,acRIP-seq,8,0,na,na
chr3,167720094,167720095,-,ac4C_site_1420,ac4C,noScore,1,DLD1,acRIP-seq,16,0,na,na
chr1,165909405,165909406,+,ac4C_site_148,ac4C,noScore,1,DLD1,acRIP-seq,4,0,na,na
chr1,162525349,162525350,+,ac4C_site_146,ac4C,noScore,1,DLD1,acRIP-seq,3,0,na,na
chr1,160997337,160997338,-,ac4C_site_141,ac4C,noScore,1,DLD1,acRIP-seq,2,0,na,na
chr1,160311972,160311973,-,ac4C_site_140,ac4C,noScore,1,DLD1,acRIP-seq,13,0,na,na
chr5,160065392,160065393,+,ac4C_site_1523,ac4C,noScore,1,DLD1,acRIP-seq,4,0,na,na
chr7,157267889,157267890,+,ac4C_site_1705,ac4C,noScore,1,DLD1,acRIP-seq,3,0,na,na
chr1,155239700,155239701,-,ac4C_site_138,ac4C,noScore,1,DLD1,acRIP-seq,9,0,na,na
chr5,154802323,154802324,+,ac4C_site_1521,ac4C,noScore,1,DLD1,acRIP-seq,3,0,na,na
chrX,154429274,154429275,+,ac4C_site_1843,ac4C,noScore,1,DLD1,acRIP-seq,8,0,na,na
chrX,154350129,154350130,-,ac4C_site_1842,ac4C,noScore,1,DLD1,acRIP-seq,10,0,na,na
chrX,153785928,153785929,-,ac4C_site_1840,ac4C,noScore,1,DLD1,acRIP-seq,5,0,na,na
chr1,153634227,153634228,-,ac4C_site_132,ac4C,noScore,1,DLD1,acRIP-seq,2,0,na,na
chr1,151982987,151982988,-,ac4C_site_131,ac4C,noScore,1,DLD1,acRIP-seq,2,0,na,na
chr1,151760103,151760104,-,ac4C_site_130,ac4C,noScore,1,DLD1,acRIP-seq,5,0,na,na
chr1,151405208,151405209,-,ac4C_site_129,ac4C,noScore,1,DLD1,acRIP-seq,7,0,na,na
chr7,151376721,151376722,+,ac4C_site_1704,ac4C,noScore,1,DLD1,acRIP-seq,4,0,na,na
chr1,151263926,151263927,+,ac4C_site_128,ac4C,noScore,1,DLD1,acRIP-seq,6,0,na,na
chr5,151065044,151065045,-,ac4C_site_1519,ac4C,noScore,1,DLD1,acRIP-seq,14,0,na,na
chr1,151006565,151006566,-,ac4C_site_127,ac4C,noScore,1,DLD1,acRIP-seq,4,0,na,na
chr3,149030799,149030800,-,ac4C_site_1416,ac4C,noScore,1,DLD1,acRIP-seq,3,0,na,na
chr4,145098419,145098420,-,ac4C_site_1467,ac4C,noScore,1,DLD1,acRIP-seq,2,0,na,na
chr8,144398381,144398382,-,ac4C_site_1742,ac4C,noScore,1,DLD1,acRIP-seq,3,0,na,na
chr8,143869307,143869308,-,ac4C_site_1741,ac4C,noScore,1,DLD1,acRIP-seq,2,0,na,na
chr7,143286914,143286915,+,ac4C_site_1700,ac4C,noScore,1,DLD1,acRIP-seq,7,0,na,na
chr5,142001937,142001938,-,ac4C_site_1513,ac4C,noScore,1,DLD1,acRIP-seq,5,0,na,na
chr3,141925918,141925919,+,ac4C_site_1414,ac4C,noScore,1,DLD1,acRIP-seq,5,0,na,na
chr5,141515522,141515523,-,ac4C_site_1510,ac4C,noScore,1,DLD1,acRIP-seq,8,0,na,na
chr8,141218904,141218905,-,ac4C_site_1738,ac4C,noScore,1,DLD1,acRIP-seq,4,0,na,na
chr5,140507912,140507913,+,ac4C_site_1506,ac4C,noScore,1,DLD1,acRIP-seq,7,0,na,na
chr5,140458742,140458743,+,ac4C_site_1505,ac4C,noScore,1,DLD1,acRIP-seq,8,0,na,na
chr5,139325551,139325552,+,ac4C_site_1503,ac4C,noScore,1,DLD1,acRIP-seq,14,0,na,na
chr9,136496762,136496763,-,ac4C_site_1806,ac4C,noScore,1,DLD1,acRIP-seq,2,0,na,na
chr9,136477633,136477634,-,ac4C_site_1805,ac4C,noScore,1,DLD1,acRIP-seq,2,0,na,na
chr9,136475661,136475662,-,ac4C_site_1804,ac4C,noScore,1,DLD1,acRIP-seq,4,0,na,na
chrX,135963294,135963295,-,ac4C_site_1838,ac4C,noScore,1,DLD1,acRIP-seq,1,0,na,na
chr9,135485714,135485715,+,ac4C_site_1803,ac4C,noScore,1,DLD1,acRIP-seq,7,0,na,na
chr9,134431949,134431950,+,ac4C_site_1802,ac4C,noScore,1,DLD1,acRIP-seq,2,0,na,na
chr9,134033647,134033648,-,ac4C_site_1801,ac4C,noScore,1,DLD1,acRIP-seq,2,0,na,na
chr7,132796506,132796507,-,ac4C_site_1696,ac4C,noScore,1,DLD1,acRIP-seq,4,0,na,na
chr12,132747924,132747925,-,ac4C_site_492,ac4C,noScore,1,DLD1,acRIP-seq,5,0,na,na
chr10,132405780,132405781,+,ac4C_site_255,ac4C,noScore,1,DLD1,acRIP-seq,2,0,na,na
chr12,131728359,131728360,+,ac4C_site_489,ac4C,noScore,1,DLD1,acRIP-seq,5,0,na,na
chr9,131626348,131626349,-,ac4C_site_1796,ac4C,noScore,1,DLD1,acRIP-seq,4,0,na,na
chr2,130370163,130370164,+,ac4C_site_1144,ac4C,noScore,1,DLD1,acRIP-seq,8,0,na,na
chr8,130092034,130092035,-,ac4C_site_1737,ac4C,noScore,1,DLD1,acRIP-seq,6,0,na,na
chr9,129809794,129809795,+,ac4C_site_1791,ac4C,noScore,1,DLD1,acRIP-seq,3,0,na,na
chr9,129489158,129489159,+,ac4C_site_1790,ac4C,noScore,1,DLD1,acRIP-seq,6,0,na,na
chr3,129315877,129315878,-,ac4C_site_1407,ac4C,noScore,1,DLD1,acRIP-seq,1,0,na,na
chr3,129304713,129304714,+,ac4C_site_1406,ac4C,noScore,1,DLD1,acRIP-seq,5,0,na,na
chr9,129006505,129006506,+,ac4C_site_1788,ac4C,noScore,1,DLD1,acRIP-seq,1,0,na,na
chr9,128909065,128909066,+,ac4C_site_1787,ac4C,noScore,1,DLD1,acRIP-seq,3,0,na,na
chr9,128819028,128819029,+,ac4C_site_1786,ac4C,noScore,1,DLD1,acRIP-seq,1,0,na,na
chr3,128630077,128630078,-,ac4C_site_1402,ac4C,noScore,1,DLD1,acRIP-seq,2,0,na,na
chr3,128490003,128490004,+,ac4C_site_1401,ac4C,noScore,1,DLD1,acRIP-seq,3,0,na,na
chr2,127713669,127713670,-,ac4C_site_1142,ac4C,noScore,1,DLD1,acRIP-seq,1,0,na,na
chr3,127608911,127608912,+,ac4C_site_1398,ac4C,noScore,1,DLD1,acRIP-seq,4,0,na,na
chr9,127450806,127450807,-,ac4C_site_1784,ac4C,noScore,1,DLD1,acRIP-seq,4,0,na,na
chr3,127014181,127014182,+,ac4C_site_1397,ac4C,noScore,1,DLD1,acRIP-seq,1,0,na,na
chr5,126777794,126777795,+,ac4C_site_1495,ac4C,noScore,1,DLD1,acRIP-seq,8,0,na,na
chr11,126263666,126263667,-,ac4C_site_378,ac4C,noScore,1,DLD1,acRIP-seq,2,0,na,na
chr6,125085972,125085973,+,ac4C_site_1618,ac4C,noScore,1,DLD1,acRIP-seq,3,0,na,na
chr12,124911977,124911978,-,ac4C_site_485,ac4C,noScore,1,DLD1,acRIP-seq,4,0,na,na
chr12,123936731,123936732,-,ac4C_site_484,ac4C,noScore,1,DLD1,acRIP-seq,5,0,na,na
chr7,123684330,123684331,-,ac4C_site_1693,ac4C,noScore,1,DLD1,acRIP-seq,1,0,na,na
chrX,123623895,123623896,-,ac4C_site_1837,ac4C,noScore,1,DLD1,acRIP-seq,5,0,na,na
chr12,122930113,122930114,-,ac4C_site_481,ac4C,noScore,1,DLD1,acRIP-seq,9,0,na,na
chr12,122770258,122770259,+,ac4C_site_480,ac4C,noScore,1,DLD1,acRIP-seq,2,0,na,na
chr10,122082896,122082897,+,ac4C_site_251,ac4C,noScore,1,DLD1,acRIP-seq,8,0,na,na
chr12,122059794,122059795,+,ac4C_site_478,ac4C,noScore,1,DLD1,acRIP-seq,2,0,na,na
chr10,121902580,121902581,-,ac4C_site_248,ac4C,noScore,1,DLD1,acRIP-seq,7,0,na,na
chr9,121785124,121785125,+,ac4C_site_1778,ac4C,noScore,1,DLD1,acRIP-seq,4,0,na,na
chr3,121696141,121696142,-,ac4C_site_1394,ac4C,noScore,1,DLD1,acRIP-seq,5,0,na,na
chr12,121439994,121439995,-,ac4C_site_477,ac4C,noScore,1,DLD1,acRIP-seq,8,0,na,na
chr9,121310778,121310779,+,ac4C_site_1777,ac4C,noScore,1,DLD1,acRIP-seq,11,0,na,na
chr12,121016395,121016396,-,ac4C_site_476,ac4C,noScore,1,DLD1,acRIP-seq,6,0,na,na
chr2,120100755,120100756,+,ac4C_site_1138,ac4C,noScore,1,DLD1,acRIP-seq,8,0,na,na
chr1,119916135,119916136,-,ac4C_site_124,ac4C,noScore,1,DLD1,acRIP-seq,1,0,na,na
chr10,119676802,119676803,+,ac4C_site_247,ac4C,noScore,1,DLD1,acRIP-seq,1,0,na,na
chr10,119527380,119527381,-,ac4C_site_246,ac4C,noScore,1,DLD1,acRIP-seq,3,0,na,na
chrX,119236513,119236514,+,ac4C_site_1836,ac4C,noScore,1,DLD1,acRIP-seq,2,0,na,na
chr11,118365119,118365120,+,ac4C_site_370,ac4C,noScore,1,DLD1,acRIP-seq,2,0,na,na
chr4,118279109,118279110,+,ac4C_site_1464,ac4C,noScore,1,DLD1,acRIP-seq,6,0,na,na
chr12,118136182,118136183,+,ac4C_site_470,ac4C,noScore,1,DLD1,acRIP-seq,1,0,na,na
chr1,117075284,117075285,+,ac4C_site_123,ac4C,noScore,1,DLD1,acRIP-seq,2,0,na,na
chr1,116398998,116398999,+,ac4C_site_122,ac4C,noScore,1,DLD1,acRIP-seq,3,0,na,na
chr9,114381191,114381192,-,ac4C_site_1776,ac4C,noScore,1,DLD1,acRIP-seq,3,0,na,na
chr13,114324065,114324066,+,ac4C_site_516,ac4C,noScore,1,DLD1,acRIP-seq,7,0,na,na
chr13,112885292,112885293,+,ac4C_site_513,ac4C,noScore,1,DLD1,acRIP-seq,4,0,na,na
chr3,112561595,112561596,-,ac4C_site_1387,ac4C,noScore,1,DLD1,acRIP-seq,7,0,na,na
chr12,112161534,112161535,-,ac4C_site_468,ac4C,noScore,1,DLD1,acRIP-seq,4,0,na,na
chr3,111981924,111981925,+,ac4C_site_1386,ac4C,noScore,1,DLD1,acRIP-seq,5,0,na,na
chr6,111696452,111696453,-,ac4C_site_1615,ac4C,noScore,1,DLD1,acRIP-seq,10,0,na,na
chr1,110341407,110341408,+,ac4C_site_117,ac4C,noScore,1,DLD1,acRIP-seq,8,0,na,na
chr1,109985163,109985164,+,ac4C_site_116,ac4C,noScore,1,DLD1,acRIP-seq,3,0,na,na
