ModChr,ModStart,ModEnd,Strand,ModID,ModType,Motif score,Support Num,Cell/Tissue,Seq Type,Transcript ID Num,Conserved Sites Num,snoRNA List,Writer Name
chr1,247334072,247334073,+,ac4C_site_192,ac4C,noScore,1,H1,ac4C-seq,0,0,na,na
chr2,241702095,241702096,+,ac4C_site_1179,ac4C,noScore,1,H1,ac4C-seq,8,0,na,na
chr2,241689983,241689984,+,ac4C_site_1178,ac4C,noScore,1,H1,ac4C-seq,1,0,na,na
chr2,241685857,241685858,-,ac4C_site_1177,ac4C,noScore,1,H1,ac4C-seq,7,0,na,na
chr2,241637706,241637707,+,ac4C_site_1176,ac4C,noScore,1,H1,ac4C-seq,16,0,na,na
chr1,241635454,241635455,-,ac4C_site_188,ac4C,noScore,1,H1,ac4C-seq,6,0,na,na
chr2,241236726,241236727,-,ac4C_site_1174,ac4C,noScore,1,H1,ac4C-seq,8,0,na,na
chr2,240599004,240599005,+,ac4C_site_1173,ac4C,noScore,1,H1,ac4C-seq,11,0,na,na
chr2,239115263,239115264,-,ac4C_site_1172,ac4C,noScore,1,H1,ac4C-seq,5,0,na,na
chr1,236558442,236558443,-,ac4C_site_187,ac4C,noScore,1,H1,ac4C-seq,2,0,na,na
chr1,235438892,235438893,+,ac4C_site_186,ac4C,noScore,1,H1,ac4C-seq,55,0,na,na
chr2,233840659,233840660,-,ac4C_site_1169,ac4C,noScore,1,H1,ac4C-seq,4,0,na,na
chr2,231710174,231710175,+,ac4C_site_1168,ac4C,noScore,1,H1,ac4C-seq,9,0,na,na
chr1,226064382,226064383,+,ac4C_site_182,ac4C,noScore,1,H1,ac4C-seq,4,0,na,na
chr2,219540003,219540004,-,ac4C_site_1166,ac4C,noScore,1,H1,ac4C-seq,2,0,na,na
chr2,216633566,216633567,+,ac4C_site_1163,ac4C,noScore,1,H1,ac4C-seq,5,0,na,na
chr2,207766189,207766190,-,ac4C_site_1161,ac4C,noScore,1,H1,ac4C-seq,1,0,na,na
chr1,206595797,206595798,-,ac4C_site_174,ac4C,noScore,1,H1,ac4C-seq,6,0,na,na
chr1,204126084,204126085,+,ac4C_site_167,ac4C,noScore,1,H1,ac4C-seq,3,0,na,na
chr2,203191069,203191070,+,ac4C_site_1158,ac4C,noScore,1,H1,ac4C-seq,4,0,na,na
chr1,202138446,202138447,-,ac4C_site_165,ac4C,noScore,1,H1,ac4C-seq,2,0,na,na
chr1,201135418,201135419,-,ac4C_site_163,ac4C,noScore,1,H1,ac4C-seq,5,0,na,na
chr2,200815725,200815726,+,ac4C_site_1156,ac4C,noScore,1,H1,ac4C-seq,8,0,na,na
chr1,200553339,200553340,-,ac4C_site_161,ac4C,noScore,1,H1,ac4C-seq,2,0,na,na
chr2,197434977,197434978,-,ac4C_site_1154,ac4C,noScore,1,H1,ac4C-seq,8,0,na,na
chr3,197044720,197044721,-,ac4C_site_1434,ac4C,noScore,1,H1,ac4C-seq,10,0,na,na
chr2,196799544,196799545,-,ac4C_site_1153,ac4C,noScore,1,H1,ac4C-seq,5,0,na,na
chr3,196270514,196270515,-,ac4C_site_1432,ac4C,noScore,1,H1,ac4C-seq,13,0,na,na
chr2,189052974,189052975,-,ac4C_site_1152,ac4C,noScore,1,H1,ac4C-seq,3,0,na,na
chr2,188039292,188039293,+,ac4C_site_1151,ac4C,noScore,1,H1,ac4C-seq,1,0,na,na
chr3,186794662,186794663,-,ac4C_site_1430,ac4C,noScore,1,H1,ac4C-seq,9,0,na,na
chr3,186788306,186788307,+,ac4C_site_1429,ac4C,noScore,1,H1,ac4C-seq,11,0,na,na
chr3,186786013,186786014,+,ac4C_site_1428,ac4C,noScore,1,H1,ac4C-seq,13,0,na,na
