ModChr,ModStart,ModEnd,Strand,ModID,ModType,Motif score,Support Num,Cell/Tissue,Seq Type,Transcript ID Num,Conserved Sites Num,snoRNA List,Writer Name
chr1,248873865,248873866,+,otherMod_site_241,ac4C,noScore,1,cytosolic,na,1,0,na,na
chr8,95269726,95269727,-,otherMod_site_1128,ac4C,noScore,1,cytosolic,na,1,0,na,na
chr6,28941063,28941064,+,otherMod_site_1038,ac4C,noScore,1,cytosolic,na,1,0,na,na
chr6,28896316,28896317,-,otherMod_site_1033,ac4C,noScore,1,cytosolic,na,1,0,na,na
chr14,28038440,28038441,+,otherMod_site_408,ac4C,noScore,1,cytosolic,na,1,0,na,na
chr6,27605733,27605734,-,otherMod_site_968,ac4C,noScore,1,cytosolic,na,1,0,na,na
chr6,27602663,27602664,-,otherMod_site_964,ac4C,noScore,1,cytosolic,na,1,0,na,na
chr6,27553482,27553483,-,otherMod_site_957,ac4C,noScore,1,cytosolic,na,1,0,na,na
chr6,27545699,27545700,+,otherMod_site_948,ac4C,noScore,1,cytosolic,na,1,0,na,na
chr6,27541844,27541845,-,otherMod_site_947,ac4C,noScore,1,cytosolic,na,1,0,na,na
chr6,27532218,27532219,+,otherMod_site_937,ac4C,noScore,1,cytosolic,na,1,0,na,na
chr6,27505897,27505898,-,otherMod_site_934,ac4C,noScore,1,cytosolic,na,2,0,na,na
chr6,27503049,27503050,+,otherMod_site_923,ac4C,noScore,1,cytosolic,na,1,0,na,na
chr6,27495824,27495825,+,otherMod_site_916,ac4C,noScore,1,cytosolic,na,1,0,na,na
chr6,27478822,27478823,+,otherMod_site_909,ac4C,noScore,1,cytosolic,na,1,0,na,na
chr6,26327599,26327600,+,otherMod_site_832,ac4C,noScore,1,cytosolic,na,1,0,na,na
chr6,26312665,26312666,-,otherMod_site_826,ac4C,noScore,1,cytosolic,na,1,0,na,na
chr12,20551482,20551483,+,otherMod_site_323,ac4C,noScore,1,cytosolic,na,3,0,na,na
chr21,8438716,8438717,+,otherMod_site_683,ac4C,noScore,2,"HEK293T,cytosolic",ac4C-seq,3,0,na,na
chr21,8438211,8438212,+,otherMod_site_682,ac4C,noScore,2,"HEK293T,cytosolic",ac4C-seq,3,0,na,na
chr21,8394506,8394507,+,otherMod_site_675,ac4C,noScore,2,"HEK293T,cytosolic",ac4C-seq,5,0,na,na
chr21,8394001,8394002,+,otherMod_site_674,ac4C,noScore,2,"HEK293T,cytosolic",ac4C-seq,5,0,na,na
chr21,8255676,8255677,+,otherMod_site_669,ac4C,noScore,1,cytosolic,na,1,0,na,na
chr21,8255174,8255175,+,otherMod_site_668,ac4C,noScore,2,"HEK293T,cytosolic",ac4C-seq,1,0,na,na
chr17,8226679,8226680,-,otherMod_site_482,ac4C,noScore,1,cytosolic,na,3,0,na,na
chr21,8211471,8211472,+,otherMod_site_661,ac4C,noScore,2,"HEK293T,cytosolic",ac4C-seq,2,0,na,na
chr21,8210966,8210967,+,otherMod_site_660,ac4C,noScore,2,"HEK293T,cytosolic",ac4C-seq,2,0,na,na
GL000251.2,427469,427470,+,otherMod_site_1280,ac4C,noScore,1,cytosolic,na,1,0,na,na
GL000251.2,387015,387016,-,otherMod_site_1275,ac4C,noScore,1,cytosolic,na,1,0,na,na
GL000256.2,250457,250458,+,otherMod_site_1464,ac4C,noScore,1,cytosolic,na,1,0,na,na
GL000254.2,206816,206817,+,otherMod_site_1391,ac4C,noScore,1,cytosolic,na,1,0,na,na
GL000255.2,206645,206646,+,otherMod_site_1425,ac4C,noScore,1,cytosolic,na,1,0,na,na
GL000253.2,206626,206627,+,otherMod_site_1351,ac4C,noScore,1,cytosolic,na,1,0,na,na
GL000256.2,205719,205720,-,otherMod_site_1459,ac4C,noScore,1,cytosolic,na,1,0,na,na
KI270733.1,172852,172853,+,otherMod_site_1500,ac4C,noScore,2,"HEK293T,cytosolic",ac4C-seq,1,0,na,na
KI270733.1,172347,172348,+,otherMod_site_1499,ac4C,noScore,2,"HEK293T,cytosolic",ac4C-seq,1,0,na,na
GL000254.2,162072,162073,-,otherMod_site_1386,ac4C,noScore,1,cytosolic,na,1,0,na,na
GL000250.2,161900,161901,-,otherMod_site_1232,ac4C,noScore,1,cytosolic,na,1,0,na,na
GL000255.2,161898,161899,-,otherMod_site_1420,ac4C,noScore,1,cytosolic,na,1,0,na,na
GL000220.1,154890,154891,+,otherMod_site_1206,ac4C,noScore,2,"HEK293T,cytosolic",ac4C-seq,1,0,na,na
GL000220.1,154385,154386,+,otherMod_site_1205,ac4C,noScore,2,"HEK293T,cytosolic",ac4C-seq,1,0,na,na
KI270733.1,127771,127772,+,otherMod_site_1492,ac4C,noScore,2,"HEK293T,cytosolic",ac4C-seq,1,0,na,na
KI270733.1,127266,127267,+,otherMod_site_1491,ac4C,noScore,2,"HEK293T,cytosolic",ac4C-seq,1,0,na,na
GL000220.1,110918,110919,+,otherMod_site_1198,ac4C,noScore,1,cytosolic,na,1,0,na,na
GL000220.1,110413,110414,+,otherMod_site_1197,ac4C,noScore,1,cytosolic,na,1,0,na,na
